specialites,formation,nb_candidats_voeu,nb_candidats_admis,nb_candidats_acceptes
"['Physique-Chimie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Sciences de l'information et de la communication,41,16.0,6
"['Sciences économiques et sociales', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Histoire,976,741.0,163
"['Sciences économiques et sociales', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Sciences religieuses,6,6.0,1
"['Sciences de la vie et de la terre', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence LEA,1189,1003.0,317
"['Sciences de la vie et de la terre', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Pluri Lettres - Langues - Sciences humaines,79,43.0,9
"['Langues, Littératures et Cultures Etrangères et Régionales', ""Sciences de l'ingénieur""]",Licence Mathématiques,3,1.0,0
"['Mathématiques', ""Littératures, langues et culture de l'antiquité""]",Licence Physique,0,0.0,0
"['Numérique et Sciences Informatiques', 'Mathématiques']",Licence Sciences de gestion,114,61.0,21
"['Physique-Chimie', 'Mathématiques']",Licence Formation générale aux métiers de l'ingénieur,5499,3768.0,280
"['Physique-Chimie', 'Mathématiques']",Licence Sciences politiques,803,223.0,41
"['Numérique et Sciences Informatiques', 'Sciences de la vie et de la terre']",Licence Sciences juridiques,30,23.0,12
"['Numérique et Sciences Informatiques', 'Sciences de la vie et de la terre']",Licence Las,194,53.0,23
"['Numérique et Sciences Informatiques', ""Sciences de l'ingénieur""]",Licence Pluri Droit - Sciences éco - AES,0,0.0,0
"['Numérique et Sciences Informatiques', ""Sciences de l'ingénieur""]",Autres formations,44,11.0,1
"['Numérique et Sciences Informatiques', ""Sciences de l'ingénieur""]",Formations des écoles nationales vétérinaires,1,0.0,0
"['Physique-Chimie', ""Littératures, langues et culture de l'antiquité""]",Licence Géographie,0,0.0,0
"['Physique-Chimie', 'Sciences économiques et sociales']",Licence Histoire,42,39.0,9
"['Arts', ""Sciences de l'ingénieur""]","Licence Archéologie, Ethno, Préhistoire, Anthropologie",0,0.0,0
"['Biologie-Ecologie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Sciences Po,0,0.0,0
"['Biologie-Ecologie', 'Mathématiques']",Licence Sciences du langage - Linguistique,4,4.0,0
"['Physique-Chimie', 'Biologie-Ecologie']",Licence Langues et littératures étrangères,37,27.0,7
"['Physique-Chimie', 'Biologie-Ecologie']",Licence Sciences juridiques,74,64.0,24
"['Sciences économiques et sociales', 'Biologie-Ecologie']",Licence Langues et littératures étrangères,1,1.0,0
"['Humanités, Littérature et Philosophie', 'Langues, Littératures et Cultures Etrangères et Régionales']","Licence Sociologie, Démographie",742,595.0,112
"['Humanités, Littérature et Philosophie', 'Mathématiques']",Licence AES,40,27.0,11
"['Humanités, Littérature et Philosophie', 'Mathématiques']",Licence Physique,4,2.0,2
"['Humanités, Littérature et Philosophie', 'Mathématiques']",Autres formations,157,58.0,27
