specialites,formation,nb_candidats_voeu,nb_candidats_admis,nb_candidats_acceptes
"['Physique-Chimie', 'Langues, Littératures et Cultures Etrangères et Régionales']",BTS production,99,55.0,19
"['Physique-Chimie', 'Langues, Littératures et Cultures Etrangères et Régionales']",DEUST,12,6.0,1
"['Sciences économiques et sociales', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence AES,4511,3276.0,920
"['Sciences économiques et sociales', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Chimie,12,4.0,1
"['Sciences économiques et sociales', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Formation générale aux métiers de l'ingénieur,10,5.0,1
"['Sciences économiques et sociales', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Langues et littératures étrangères,5693,4753.0,1483
"['Sciences économiques et sociales', 'Langues, Littératures et Cultures Etrangères et Régionales']","Licence Psychlogie, Sciences cognitives",2866,1712.0,713
"['Sciences économiques et sociales', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Sciences et technologies industrielles,45,28.0,14
"['Sciences économiques et sociales', 'Langues, Littératures et Cultures Etrangères et Régionales']",CPGE ECG,1324,662.0,248
"['Sciences économiques et sociales', 'Langues, Littératures et Cultures Etrangères et Régionales']",Ecoles de Commerce,2196,1940.0,1478
"['Sciences de la vie et de la terre', 'Langues, Littératures et Cultures Etrangères et Régionales']",Autres formations,337,151.0,60
"['Langues, Littératures et Cultures Etrangères et Régionales', ""Sciences de l'ingénieur""]","Licence Electronique, Génie électrique, EEA",1,1.0,0
"['Langues, Littératures et Cultures Etrangères et Régionales', ""Sciences de l'ingénieur""]","Licence Sociologie, Démographie",1,1.0,0
"['Langues, Littératures et Cultures Etrangères et Régionales', ""Sciences de l'ingénieur""]",CPGE S,3,0.0,0
"['Langues, Littératures et Cultures Etrangères et Régionales', ""Sciences de l'ingénieur""]",Formations des écoles nationales vétérinaires,0,0.0,0
"['Mathématiques', ""Littératures, langues et culture de l'antiquité""]",Licence AES,0,0.0,0
"['Mathématiques', ""Littératures, langues et culture de l'antiquité""]",Licence Pluri Sciences économiques - Gestion,0,0.0,0
"['Mathématiques', ""Littératures, langues et culture de l'antiquité""]",BUT Service,0,0.0,0
"['Numérique et Sciences Informatiques', 'Mathématiques']",Licence Mathématiques et informatique,226,53.0,13
"['Numérique et Sciences Informatiques', 'Mathématiques']",CPGE ECG,133,81.0,33
"['Numérique et Sciences Informatiques', 'Mathématiques']",D.E social,5,1.0,1
"['Numérique et Sciences Informatiques', 'Mathématiques']",Formations des écoles nationales vétérinaires,2,0.0,0
"['Physique-Chimie', 'Mathématiques']",Licence Pluri Sciences humaines et sociales,94,55.0,4
"['Physique-Chimie', 'Mathématiques']",BTS agricole,707,532.0,149
"['Sciences économiques et sociales', 'Mathématiques']","Licence Archéologie, Ethno, Préhistoire, Anthropologie",107,70.0,7
"['Sciences économiques et sociales', 'Mathématiques']",PASS,554,171.0,52
"['Sciences économiques et sociales', 'Mathématiques']",Ecoles de Commerce,4536,4145.0,2874
"['Sciences économiques et sociales', 'Mathématiques']",CUPGE,726,466.0,99
"['Sciences de la vie et de la terre', 'Mathématiques']",Licence Arts,732,507.0,159
"['Sciences de la vie et de la terre', 'Mathématiques']",Licence Sciences juridiques,3100,2485.0,854
"['Sciences de la vie et de la terre', 'Mathématiques']","Licence Sociologie, Démographie",859,707.0,99
"['Sciences de la vie et de la terre', 'Mathématiques']",BUT Production,6300,2508.0,995
"['Sciences de la vie et de la terre', 'Mathématiques']",CPGE L,347,253.0,102
"['Sciences de la vie et de la terre', 'Mathématiques']",CPGE S,3940,1587.0,774
"['Sciences de la vie et de la terre', 'Mathématiques']",Formations des écoles nationales vétérinaires,1210,27.0,26
"['Sciences de la vie et de la terre', 'Mathématiques']",Ensemble des candidats bacheliers,26123,24687.0,21907
"['Mathématiques', ""Sciences de l'ingénieur""]","Licence Psychlogie, Sciences cognitives",91,52.0,14
"['Mathématiques', ""Sciences de l'ingénieur""]",Licence Sciences de gestion,89,44.0,17
"['Mathématiques', ""Sciences de l'ingénieur""]",Licence Sciences de l'information et de la communication,62,37.0,7
"['Mathématiques', ""Sciences de l'ingénieur""]",Licence Las,570,174.0,20
"['Mathématiques', ""Sciences de l'ingénieur""]",DEUST,65,22.0,7
"['Numérique et Sciences Informatiques', ""Littératures, langues et culture de l'antiquité""]",Licence Physique et chimie,0,0.0,0
"['Numérique et Sciences Informatiques', 'Physique-Chimie']",Licence Sciences et technologies industrielles,52,19.0,4
"['Numérique et Sciences Informatiques', 'Physique-Chimie']",PASS,27,8.0,3
"['Numérique et Sciences Informatiques', 'Sciences économiques et sociales']",Licence Informatique,166,92.0,41
"['Numérique et Sciences Informatiques', 'Sciences de la vie et de la terre']",D.E social,4,0.0,0
"['Numérique et Sciences Informatiques', 'Sciences de la vie et de la terre']",Autres formations,70,25.0,9
"['Numérique et Sciences Informatiques', 'Sciences de la vie et de la terre']",DEUST,38,16.0,9
"['Numérique et Sciences Informatiques', ""Sciences de l'ingénieur""]","Licence Mécanique, Génie mécanique, Ingénierie mécanique",1,0.0,0
"['Numérique et Sciences Informatiques', ""Sciences de l'ingénieur""]",Licence Pluri Sciences,0,0.0,0
"['Numérique et Sciences Informatiques', ""Sciences de l'ingénieur""]",D.E sanitaire,4,1.0,1
"['Physique-Chimie', ""Littératures, langues et culture de l'antiquité""]",Licence Histoire,0,0.0,0
"['Physique-Chimie', ""Littératures, langues et culture de l'antiquité""]","Licence Mécanique, Génie mécanique, Ingénierie mécanique",0,0.0,0
"['Physique-Chimie', ""Littératures, langues et culture de l'antiquité""]",Licence Pluri Langues,0,0.0,0
"['Physique-Chimie', ""Littératures, langues et culture de l'antiquité""]",Licence Sciences et technologies industrielles,0,0.0,0
"['Physique-Chimie', ""Littératures, langues et culture de l'antiquité""]",Licence Sciences politiques,0,0.0,0
"['Physique-Chimie', ""Littératures, langues et culture de l'antiquité""]",CPGE S,0,0.0,0
"['Physique-Chimie', 'Sciences économiques et sociales']",Ecoles d'Ingénieurs,23,6.0,3
"['Physique-Chimie', ""Sciences de l'ingénieur""]",Licence Langues et littératures étrangères,32,22.0,7
"['Physique-Chimie', ""Sciences de l'ingénieur""]",Licence Sciences et technologies industrielles,39,11.0,3
"['Sciences économiques et sociales', ""Littératures, langues et culture de l'antiquité""]",Licence Physique et chimie,0,0.0,0
"['Sciences économiques et sociales', ""Littératures, langues et culture de l'antiquité""]",Licence Pluri Sciences économiques - Gestion,1,0.0,0
"['Sciences économiques et sociales', 'Sciences de la vie et de la terre']",Licence Langues et littératures françaises,200,162.0,30
"['Sciences économiques et sociales', 'Sciences de la vie et de la terre']",Licence STAPS,3657,2363.0,1589
"['Sciences économiques et sociales', ""Sciences de l'ingénieur""]",Licence Pluri Sciences économiques - Gestion,46,31.0,14
"['Sciences économiques et sociales', ""Sciences de l'ingénieur""]",Ecoles de Commerce,11,7.0,5
"['Sciences économiques et sociales', ""Sciences de l'ingénieur""]",Autres formations,16,2.0,0
"['Sciences de la vie et de la terre', ""Littératures, langues et culture de l'antiquité""]","Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers",1,1.0,0
"['Sciences de la vie et de la terre', ""Littératures, langues et culture de l'antiquité""]",BTS agricole,2,2.0,1
"['Sciences de la vie et de la terre', ""Littératures, langues et culture de l'antiquité""]",Ensemble des candidats bacheliers,21,19.0,16
"['Sciences de la vie et de la terre', ""Sciences de l'ingénieur""]",Licence LEA,6,6.0,0
"['Sciences de la vie et de la terre', ""Sciences de l'ingénieur""]",Licence Sciences de l'éducation,7,2.0,0
"['Arts', 'Humanités, Littérature et Philosophie']",Licence Las,232,48.0,7
"['Arts', ""Littératures, langues et culture de l'antiquité""]",Licence AES,0,0.0,0
"['Arts', ""Littératures, langues et culture de l'antiquité""]",Licence Sciences de l'éducation,0,0.0,0
"['Arts', ""Littératures, langues et culture de l'antiquité""]",Licence Sciences économiques,0,0.0,0
"['Arts', ""Littératures, langues et culture de l'antiquité""]",D.E social,2,0.0,0
"['Arts', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence LEA,1464,1103.0,400
"['Arts', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Sciences et technologies industrielles,11,6.0,3
"['Arts', 'Langues, Littératures et Cultures Etrangères et Régionales']",Ecoles d'Ingénieurs,0,0.0,0
"['Arts', 'Mathématiques']",Sciences Po,11,1.0,0
"['Arts', 'Numérique et Sciences Informatiques']",Licence Arts,170,134.0,56
"['Arts', 'Numérique et Sciences Informatiques']",Licence Pluri Sciences économiques - Gestion,3,3.0,2
"['Arts', 'Physique-Chimie']","Licence Electronique, Génie électrique, EEA",0,0.0,0
"['Arts', 'Physique-Chimie']",Licence Sciences juridiques,21,17.0,10
"['Arts', 'Sciences économiques et sociales']","Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers",1,0.0,0
"['Arts', 'Sciences économiques et sociales']",Licence Sciences de gestion,73,29.0,8
"['Arts', 'Sciences économiques et sociales']",Sciences Po,34,2.0,1
"['Arts', 'Sciences de la vie et de la terre']",BUT Service,45,10.0,1
"['Arts', ""Sciences de l'ingénieur""]",D.E sanitaire,1,0.0,0
"['Humanités, Littérature et Philosophie', 'Sciences de la vie et de la terre']",D.E social,57,13.0,11
"['Humanités, Littérature et Philosophie', ""Sciences de l'ingénieur""]","Licence Sciences de l'univers, de la terre, de l'espace",0,0.0,0
"['Mathématiques', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Sciences du langage - Linguistique,178,157.0,20
"['Mathématiques', 'Langues, Littératures et Cultures Etrangères et Régionales']",BTS production,266,135.0,53
"['Mathématiques', 'Langues, Littératures et Cultures Etrangères et Régionales']",CUPGE,68,26.0,8
"['Numérique et Sciences Informatiques', 'Langues, Littératures et Cultures Etrangères et Régionales']",BTS production,135,74.0,19
"['Physique-Chimie', 'Langues, Littératures et Cultures Etrangères et Régionales']","Licence Mécanique, Génie mécanique, Ingénierie mécanique",11,6.0,2
"['Physique-Chimie', 'Langues, Littératures et Cultures Etrangères et Régionales']","Licence Sciences de la vie, biologie, santé",40,21.0,13
"['Sciences économiques et sociales', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence LEA,7419,6121.0,2354
"['Sciences économiques et sociales', 'Langues, Littératures et Cultures Etrangères et Régionales']","Licence Sciences de l'univers, de la terre, de l'espace",11,7.0,3
"['Sciences de la vie et de la terre', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Génie civil,2,2.0,1
"['Mathématiques', ""Littératures, langues et culture de l'antiquité""]",Licence Géographie,0,0.0,0
"['Numérique et Sciences Informatiques', 'Mathématiques']",Licence LEA,195,150.0,36
"['Numérique et Sciences Informatiques', 'Mathématiques']",Licence Pluri Sciences,44,14.0,3
"['Sciences économiques et sociales', 'Mathématiques']",Licence Pluri Lettres - Langues - Sciences humaines,103,70.0,9
"['Sciences économiques et sociales', ""Littératures, langues et culture de l'antiquité""]",Licence Pluri Lettres - Sciences du langage - Arts,1,0.0,0
"['Sciences économiques et sociales', ""Littératures, langues et culture de l'antiquité""]",Licence Pluri Sciences,0,0.0,0
"['Sciences économiques et sociales', ""Littératures, langues et culture de l'antiquité""]",Ecoles de Commerce,0,0.0,0
"['Sciences de la vie et de la terre', ""Littératures, langues et culture de l'antiquité""]",Licence Pluri Sciences humaines et sociales,0,0.0,0
"['Sciences de la vie et de la terre', ""Littératures, langues et culture de l'antiquité""]",BUT Production,1,0.0,0
"['Arts', 'Humanités, Littérature et Philosophie']",BTS service,572,203.0,85
"['Arts', ""Littératures, langues et culture de l'antiquité""]",Licence Physique,0,0.0,0
"['Arts', ""Littératures, langues et culture de l'antiquité""]","Licence Sciences de l'univers, de la terre, de l'espace",0,0.0,0
"['Arts', ""Littératures, langues et culture de l'antiquité""]",Sciences Po,0,0.0,0
"['Arts', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Pluri Langues,37,10.0,4
"['Arts', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Las,233,49.0,14
"['Arts', 'Langues, Littératures et Cultures Etrangères et Régionales']",DEUST,53,18.0,6
"['Arts', 'Sciences économiques et sociales']",CUPGE,2,1.0,0
"['Arts', 'Sciences économiques et sociales']",Ensemble des candidats bacheliers,2124,1914.0,1491
"['Arts', ""Sciences de l'ingénieur""]","Licence Psychlogie, Sciences cognitives",1,1.0,0
"['Biologie-Ecologie', 'Mathématiques']",Licence Mathématiques et informatique,0,0.0,0
"['Biologie-Ecologie', 'Mathématiques']",Licence Physique,1,1.0,1
"['Physique-Chimie', 'Biologie-Ecologie']",Licence STAPS,191,117.0,48
"['Physique-Chimie', 'Biologie-Ecologie']",BUT Service,70,25.0,7
"['Physique-Chimie', 'Biologie-Ecologie']",BTS production,134,68.0,16
"['Sciences de la vie et de la terre', ""Littératures, langues et culture de l'antiquité""]",Licence Sciences du langage - Linguistique,1,1.0,0
"['Sciences de la vie et de la terre', ""Littératures, langues et culture de l'antiquité""]",Ecoles d'Ingénieurs,0,0.0,0
"['Sciences de la vie et de la terre', ""Sciences de l'ingénieur""]",Licence MASS,1,0.0,0
"['Sciences de la vie et de la terre', ""Sciences de l'ingénieur""]",Licence Mathématiques,2,1.0,1
"['Sciences de la vie et de la terre', ""Sciences de l'ingénieur""]",Licence Pluri Lettres - Sciences du langage - Arts,0,0.0,0
"['Sciences de la vie et de la terre', ""Sciences de l'ingénieur""]",Licence Pluri Sciences,2,0.0,0
"['Sciences de la vie et de la terre', ""Sciences de l'ingénieur""]","Licence Psychlogie, Sciences cognitives",9,6.0,3
"['Humanités, Littérature et Philosophie', 'Mathématiques']",Licence Sciences religieuses,0,0.0,0
"['Humanités, Littérature et Philosophie', 'Mathématiques']",PASS,41,17.0,5
"['Physique-Chimie', 'Langues, Littératures et Cultures Etrangères et Régionales']",D.E social,4,1.0,1
"['Sciences économiques et sociales', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Langues et littératures françaises,1011,727.0,120
"['Sciences de la vie et de la terre', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Mathématiques,17,10.0,0
"['Langues, Littératures et Cultures Etrangères et Régionales', ""Sciences de l'ingénieur""]",Licence Physique,2,1.0,0
"['Langues, Littératures et Cultures Etrangères et Régionales', ""Sciences de l'ingénieur""]",Licence Pluri Sciences fondamentales et applications,0,0.0,0
"['Langues, Littératures et Cultures Etrangères et Régionales', ""Sciences de l'ingénieur""]",Licence Sciences de gestion,3,0.0,0
"['Langues, Littératures et Cultures Etrangères et Régionales', ""Sciences de l'ingénieur""]",Ecoles de Commerce,1,1.0,1
"['Langues, Littératures et Cultures Etrangères et Régionales', ""Sciences de l'ingénieur""]",DCG,1,1.0,0
"['Mathématiques', ""Littératures, langues et culture de l'antiquité""]",Licence Mathématiques,0,0.0,0
"['Mathématiques', ""Littératures, langues et culture de l'antiquité""]",Licence Sciences politiques,0,0.0,0
"['Mathématiques', ""Littératures, langues et culture de l'antiquité""]",BTS production,1,0.0,0
"['Mathématiques', ""Littératures, langues et culture de l'antiquité""]",CUPGE,1,1.0,0
"['Numérique et Sciences Informatiques', 'Mathématiques']",Licence Physique et chimie,30,12.0,0
"['Numérique et Sciences Informatiques', 'Mathématiques']",Licence STAPS,467,211.0,100
"['Numérique et Sciences Informatiques', 'Mathématiques']",Formations d'ART,307,84.0,36
"['Physique-Chimie', 'Mathématiques']",Licence AES,1428,1033.0,108
"['Physique-Chimie', 'Mathématiques']","Licence Electronique, Génie électrique, EEA",222,219.0,14
"['Physique-Chimie', 'Mathématiques']","Licence Psychlogie, Sciences cognitives",2911,2106.0,443
"['Physique-Chimie', 'Mathématiques']",Licence Sciences juridiques,5302,4151.0,1129
"['Sciences de la vie et de la terre', 'Mathématiques']",Licence Physique,131,78.0,9
"['Sciences de la vie et de la terre', 'Mathématiques']",CPGE ECG,927,614.0,231
"['Mathématiques', ""Sciences de l'ingénieur""]",Formations d'ART,206,70.0,34
"['Mathématiques', ""Sciences de l'ingénieur""]",CUPGE,183,55.0,11
"['Numérique et Sciences Informatiques', ""Littératures, langues et culture de l'antiquité""]",Ecoles d'Ingénieurs,0,0.0,0
"['Numérique et Sciences Informatiques', 'Sciences économiques et sociales']",Licence Sciences religieuses,0,0.0,0
"['Numérique et Sciences Informatiques', 'Sciences économiques et sociales']",BTS service,418,212.0,83
"['Numérique et Sciences Informatiques', 'Sciences de la vie et de la terre']","Licence Mécanique, Génie mécanique, Ingénierie mécanique",0,0.0,0
"['Numérique et Sciences Informatiques', 'Sciences de la vie et de la terre']",Licence Sciences de l'éducation,12,4.0,2
"['Numérique et Sciences Informatiques', 'Sciences de la vie et de la terre']",CPGE ECG,1,0.0,0
"['Numérique et Sciences Informatiques', ""Sciences de l'ingénieur""]","Licence Archéologie, Ethno, Préhistoire, Anthropologie",0,0.0,0
"['Numérique et Sciences Informatiques', ""Sciences de l'ingénieur""]",Licence Chimie,5,5.0,1
"['Numérique et Sciences Informatiques', ""Sciences de l'ingénieur""]",Licence Pluri Lettres - Sciences du langage - Arts,0,0.0,0
"['Physique-Chimie', ""Littératures, langues et culture de l'antiquité""]",Licence Informatique,0,0.0,0
"['Physique-Chimie', ""Littératures, langues et culture de l'antiquité""]",Licence STAPS,0,0.0,0
"['Physique-Chimie', ""Littératures, langues et culture de l'antiquité""]",Licence Sciences juridiques,0,0.0,0
"['Physique-Chimie', 'Sciences économiques et sociales']",Licence Arts,46,27.0,12
"['Physique-Chimie', 'Sciences économiques et sociales']",CUPGE,8,2.0,1
"['Physique-Chimie', 'Sciences de la vie et de la terre']",Licence Physique,1710,1047.0,100
"['Physique-Chimie', 'Sciences de la vie et de la terre']",Licence Pluri Lettres - Sciences du langage - Arts,46,38.0,5
"['Physique-Chimie', 'Sciences de la vie et de la terre']",Licence Sciences religieuses,1,1.0,0
"['Physique-Chimie', 'Sciences de la vie et de la terre']",D.E social,164,45.0,33
"['Physique-Chimie', 'Sciences de la vie et de la terre']",DCG,330,207.0,41
"['Physique-Chimie', ""Sciences de l'ingénieur""]",Licence Génie civil,15,10.0,5
"['Physique-Chimie', ""Sciences de l'ingénieur""]",Licence LEA,30,21.0,8
"['Physique-Chimie', ""Sciences de l'ingénieur""]",Licence MASS,4,3.0,1
"['Physique-Chimie', ""Sciences de l'ingénieur""]","Licence Philosophie, Epistémologie",3,0.0,0
"['Physique-Chimie', ""Sciences de l'ingénieur""]","Licence Sciences de l'univers, de la terre, de l'espace",5,4.0,1
"['Physique-Chimie', ""Sciences de l'ingénieur""]",Licence Las,83,20.0,4
"['Arts', 'Humanités, Littérature et Philosophie']",Licence Mathématiques,4,1.0,0
"['Arts', 'Humanités, Littérature et Philosophie']",Licence Sciences de l'éducation,200,104.0,43
"['Arts', ""Littératures, langues et culture de l'antiquité""]","Licence Philosophie, Epistémologie",4,3.0,0
"['Arts', 'Langues, Littératures et Cultures Etrangères et Régionales']",Sciences Po,36,4.0,4
"['Arts', 'Mathématiques']",Licence Chimie,12,8.0,2
"['Arts', 'Mathématiques']",Licence Génie civil,15,9.0,1
"['Arts', 'Mathématiques']",DCG,21,11.0,4
"['Arts', 'Numérique et Sciences Informatiques']","Licence Sciences de l'univers, de la terre, de l'espace",0,0.0,0
"['Arts', 'Sciences économiques et sociales']","Licence Sociologie, Démographie",351,294.0,69
"['Arts', 'Sciences de la vie et de la terre']","Licence Psychlogie, Sciences cognitives",163,96.0,42
"['Arts', 'Sciences de la vie et de la terre']",Licence Sciences du langage - Linguistique,21,19.0,5
"['Arts', 'Sciences de la vie et de la terre']",Licence Las,214,60.0,27
"['Arts', ""Sciences de l'ingénieur""]",Licence Physique,0,0.0,0
"['Humanités, Littérature et Philosophie', 'Biologie-Ecologie']",Licence Pluri Langues,0,0.0,0
"['Humanités, Littérature et Philosophie', 'Biologie-Ecologie']",D.E social,0,0.0,0
"['Biologie-Ecologie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Langues et littératures étrangères,1,0.0,0
"['Biologie-Ecologie', 'Langues, Littératures et Cultures Etrangères et Régionales']","Licence Sciences de l'univers, de la terre, de l'espace",0,0.0,0
"['Biologie-Ecologie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Ensemble des candidats bacheliers,3,3.0,2
"['Sciences économiques et sociales', 'Biologie-Ecologie']",Licence MASS,0,0.0,0
"['Sciences économiques et sociales', 'Biologie-Ecologie']",CPGE S,0,0.0,0
"['Sciences économiques et sociales', 'Biologie-Ecologie']",Formations des écoles nationales vétérinaires,0,0.0,0
"['Humanités, Littérature et Philosophie', ""Littératures, langues et culture de l'antiquité""]",CPGE S,0,0.0,0
"['Humanités, Littérature et Philosophie', ""Littératures, langues et culture de l'antiquité""]",Ecoles d'Ingénieurs,0,0.0,0
"['Humanités, Littérature et Philosophie', ""Littératures, langues et culture de l'antiquité""]",Autres formations,39,20.0,12
"['Humanités, Littérature et Philosophie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Arts,1552,1130.0,520
"['Humanités, Littérature et Philosophie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Histoire,909,754.0,182
"['Humanités, Littérature et Philosophie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Autres formations,476,212.0,75
"['Humanités, Littérature et Philosophie', 'Mathématiques']",Licence Sciences de l'information et de la communication,54,39.0,9
"['Humanités, Littérature et Philosophie', 'Numérique et Sciences Informatiques']",Licence Chimie,0,0.0,0
"['Humanités, Littérature et Philosophie', 'Numérique et Sciences Informatiques']",D.E sanitaire,4,3.0,1
"['Humanités, Littérature et Philosophie', 'Physique-Chimie']",Licence MASS,2,1.0,1
"['Humanités, Littérature et Philosophie', 'Physique-Chimie']",Licence Sciences économiques,1,1.0,1
"['Humanités, Littérature et Philosophie', 'Sciences de la vie et de la terre']","Licence Philosophie, Epistémologie",276,216.0,35
"['Humanités, Littérature et Philosophie', 'Sciences de la vie et de la terre']",Licence Physique et chimie,1,1.0,0
"['Humanités, Littérature et Philosophie', 'Sciences de la vie et de la terre']",Licence Las,856,254.0,75
"['Humanités, Littérature et Philosophie', 'Sciences de la vie et de la terre']",BTS production,46,15.0,4
"['Humanités, Littérature et Philosophie', 'Sciences de la vie et de la terre']",CPGE S,28,2.0,0
"['Langues, Littératures et Cultures Etrangères et Régionales', ""Littératures, langues et culture de l'antiquité""]",Licence Physique,0,0.0,0
"['Langues, Littératures et Cultures Etrangères et Régionales', ""Littératures, langues et culture de l'antiquité""]",PASS,2,1.0,1
"['Langues, Littératures et Cultures Etrangères et Régionales', ""Littératures, langues et culture de l'antiquité""]",Ecoles de Commerce,0,0.0,0
"['Mathématiques', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Informatique,271,170.0,53
"['Mathématiques', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Pluri Sciences économiques - Gestion,814,537.0,120
"['Mathématiques', 'Langues, Littératures et Cultures Etrangères et Régionales']",DEUST,48,18.0,7
"['Numérique et Sciences Informatiques', 'Langues, Littératures et Cultures Etrangères et Régionales']","Licence Sociologie, Démographie",19,17.0,4
"['Numérique et Sciences Informatiques', 'Langues, Littératures et Cultures Etrangères et Régionales']",CPGE L,15,9.0,3
"['Physique-Chimie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence LEA,274,231.0,80
"['Physique-Chimie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Sciences du langage - Linguistique,28,23.0,6
"['Physique-Chimie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Sciences juridiques,124,99.0,53
"['Physique-Chimie', 'Langues, Littératures et Cultures Etrangères et Régionales']","Licence Sociologie, Démographie",30,20.0,6
"['Physique-Chimie', 'Langues, Littératures et Cultures Etrangères et Régionales']",CPGE L,34,23.0,10
"['Sciences économiques et sociales', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Pluri Langues,119,32.0,5
"['Sciences économiques et sociales', 'Langues, Littératures et Cultures Etrangères et Régionales']","Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers",29,4.0,1
"['Sciences de la vie et de la terre', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Formation générale aux métiers de l'ingénieur,11,2.0,0
"['Langues, Littératures et Cultures Etrangères et Régionales', ""Sciences de l'ingénieur""]",Licence Chimie,2,1.0,0
"['Langues, Littératures et Cultures Etrangères et Régionales', ""Sciences de l'ingénieur""]",Licence Formation générale aux métiers de l'ingénieur,11,4.0,2
"['Langues, Littératures et Cultures Etrangères et Régionales', ""Sciences de l'ingénieur""]",Ecoles d'Ingénieurs,3,1.0,1
"['Mathématiques', ""Littératures, langues et culture de l'antiquité""]",Licence Formation générale aux métiers de l'ingénieur,0,0.0,0
"['Mathématiques', ""Littératures, langues et culture de l'antiquité""]","Licence Philosophie, Epistémologie",1,1.0,0
"['Mathématiques', ""Littératures, langues et culture de l'antiquité""]",Licence Sciences de gestion,0,0.0,0
"['Mathématiques', ""Littératures, langues et culture de l'antiquité""]","Licence Sciences de la vie, biologie, santé",0,0.0,0
"['Mathématiques', ""Littératures, langues et culture de l'antiquité""]",BTS agricole,0,0.0,0
"['Mathématiques', ""Littératures, langues et culture de l'antiquité""]",Formations d'ART,3,3.0,2
"['Numérique et Sciences Informatiques', 'Mathématiques']",Licence Chimie,173,121.0,12
"['Numérique et Sciences Informatiques', 'Mathématiques']",Licence Formation générale aux métiers de l'ingénieur,449,243.0,31
"['Numérique et Sciences Informatiques', 'Mathématiques']",BUT Service,1156,501.0,130
"['Physique-Chimie', 'Mathématiques']",Licence Physique et chimie,8413,5574.0,434
"['Physique-Chimie', 'Mathématiques']",Licence Sciences de gestion,1884,1240.0,282
"['Physique-Chimie', 'Mathématiques']","Licence Sciences de l'univers, de la terre, de l'espace",989,670.0,76
"['Physique-Chimie', 'Mathématiques']",BTS production,5221,3273.0,747
"['Physique-Chimie', 'Mathématiques']",BTS service,5552,2940.0,729
"['Sciences économiques et sociales', 'Mathématiques']",Licence Génie civil,38,23.0,5
"['Sciences économiques et sociales', 'Mathématiques']",Licence MASS,1336,1033.0,191
"['Sciences économiques et sociales', 'Mathématiques']",Licence Mathématiques,1226,720.0,152
"['Sciences de la vie et de la terre', 'Mathématiques']",Licence Physique et chimie,121,74.0,1
"['Mathématiques', ""Sciences de l'ingénieur""]",Licence Génie civil,222,161.0,25
"['Mathématiques', ""Sciences de l'ingénieur""]",Licence Histoire,142,117.0,22
"['Mathématiques', ""Sciences de l'ingénieur""]",Licence Pluri Lettres - Langues - Sciences humaines,13,12.0,1
"['Mathématiques', ""Sciences de l'ingénieur""]",Licence Pluri Lettres - Sciences du langage - Arts,6,3.0,0
"['Mathématiques', ""Sciences de l'ingénieur""]",Licence Sciences religieuses,1,1.0,0
"['Mathématiques', ""Sciences de l'ingénieur""]",Ecoles de Commerce,88,69.0,46
"['Mathématiques', ""Sciences de l'ingénieur""]",DCG,102,66.0,28
"['Numérique et Sciences Informatiques', ""Littératures, langues et culture de l'antiquité""]",Licence Pluri Lettres - Sciences du langage - Arts,0,0.0,0
"['Numérique et Sciences Informatiques', ""Littératures, langues et culture de l'antiquité""]",Licence Sciences juridiques,0,0.0,0
"['Numérique et Sciences Informatiques', ""Littératures, langues et culture de l'antiquité""]",CPGE ECG,0,0.0,0
"['Numérique et Sciences Informatiques', 'Physique-Chimie']",Licence MASS,13,10.0,1
"['Numérique et Sciences Informatiques', 'Physique-Chimie']","Licence Sociologie, Démographie",5,4.0,0
"['Numérique et Sciences Informatiques', 'Physique-Chimie']",Licence Las,86,25.0,5
"['Numérique et Sciences Informatiques', 'Physique-Chimie']",BTS agricole,16,12.0,0
"['Numérique et Sciences Informatiques', 'Physique-Chimie']",Sciences Po,1,0.0,0
